FileName,Label,HuMoment1,HuMoment2,HuMoment3,HuMoment4,HuMoment5,HuMoment6,HuMoment7
Inputs/Traffic signs/Segmented\red_sign circle 23.png,1,1,6.86111e-05,6.31032e-06,3.29831e-08,2.76897e-15,1.05688e-10,0
Inputs/Traffic signs/Segmented\red_sign circle 26.png,1,1,0.00273403,1.8216e-06,6.44889e-09,1.31914e-10,0,1.31914e-10
Inputs/Traffic signs/Segmented\red_sign circle 28.png,1,1,0.0012991,4.66643e-06,6.12068e-08,5.85038e-10,0,5.85033e-10
Inputs/Traffic signs/Segmented\red_sign circle 3.png,1,1,0.00233834,2.00564e-05,3.27468e-09,1.84177e-16,6.23561e-11,0
Inputs/Traffic signs/Segmented\red_sign circle 4.png,1,1,0.00521951,1.28044e-06,1.28946e-08,0,2.97237e-11,8.11843e-17
Inputs/Traffic signs/Segmented\red_sign circle 5.png,1,1,0.00105074,3.40995e-05,0.000119953,1.79848e-09,1.61445e-06,0
Inputs/Traffic signs/Segmented\red_sign circle 6.png,1,1,0.00175542,2.2862e-08,5.24687e-11,2.35876e-13,0,2.35876e-13
Inputs/Traffic signs/Segmented\red_sign circle 7.png,1,1,0.000337462,6.57692e-07,2.93754e-10,1.47096e-19,1.18043e-12,0
Inputs/Traffic signs/Segmented\red_sign circle 8.png,1,1,0.000148746,1.72546e-06,1.27666e-09,1.27395e-17,2.40613e-12,0
Inputs/Traffic signs/Segmented\red_sign circle 9.png,1,1,0.000142694,1.85335e-07,4.09456e-11,8.9753e-21,1.45006e-13,0
Inputs/Traffic signs/Segmented\red_sign octagon 25.png,1,1,0.000325262,2.12411e-07,3.68632e-09,0,1.51938e-11,1.17118e-17
Inputs/Traffic signs/Segmented\red_sign triangle 24.png,1,1,0.000254505,0.017298,8.03431e-06,5.41832e-08,0,5.44744e-08
Inputs/Traffic signs/Segmented\red_sign triangle 27.png,1,1,0.000546843,0.0219522,1.80704e-05,3.03044e-09,1.16458e-07,0
Inputs/Traffic signs/Segmented\yellow_sign triangle 1.png,2,1,0.000792646,0.0130964,1.01058e-05,7.89248e-10,1.16874e-07,0
Inputs/Traffic signs/Segmented\yellow_sign triangle 10.png,2,1,0.000334091,0.0203179,5.53478e-06,0,3.12391e-08,1.09431e-10
Inputs/Traffic signs/Segmented\yellow_sign triangle 11.png,2,1,2.43551e-05,0.0225944,1.34012e-06,4.04174e-10,0,4.38565e-10
Inputs/Traffic signs/Segmented\yellow_sign triangle 12.png,2,1,0.00116013,0.0172111,3.6736e-05,6.8676e-09,5.08496e-07,0
Inputs/Traffic signs/Segmented\yellow_sign triangle 13.png,2,1,0.00407571,0.0203,8.18705e-05,2.94053e-08,2.16465e-06,0
Inputs/Traffic signs/Segmented\yellow_sign triangle 14.png,2,1,0.00022051,0.0181834,2.20256e-06,1.20992e-08,0,1.21922e-08
Inputs/Traffic signs/Segmented\yellow_sign triangle 15.png,2,1,4.69584e-06,0.0216755,8.05314e-08,6.23709e-11,0,6.32295e-11
Inputs/Traffic signs/Segmented\yellow_sign triangle 16.png,2,1,0.00457474,0.010173,6.19916e-05,1.40907e-06,0,1.41099e-06
Inputs/Traffic signs/Segmented\yellow_sign triangle 17.png,2,1,0.000121412,0.0198409,2.4014e-06,7.47117e-09,0,7.6015e-09
Inputs/Traffic signs/Segmented\yellow_sign triangle 18.png,2,1,0.000371853,0.0228599,1.1134e-05,3.90707e-08,0,3.86311e-08
Inputs/Traffic signs/Segmented\yellow_sign triangle 19.png,2,1,6.55269e-05,0.0221628,4.4036e-06,3.5217e-10,3.08035e-09,0
Inputs/Traffic signs/Segmented\yellow_sign triangle 2.png,2,1,0.0179841,0.0196045,0.000630216,4.92499e-07,3.69932e-05,0
Inputs/Traffic signs/Segmented\yellow_sign triangle 20.png,2,1,0.0677836,0.00871596,0.000544609,5.52915e-05,0,5.54393e-05
Inputs/Traffic signs/Segmented\yellow_sign triangle 21.png,2,1,0.000152664,0.020816,2.83427e-06,1.36523e-08,0,1.36836e-08
Inputs/Traffic signs/Segmented\yellow_sign triangle 22.png,2,1,0.000371917,0.00766589,1.74179e-05,5.60094e-08,0,5.43232e-08
Inputs/Traffic signs/Segmented\yellow_sign triangle 23.png,2,1,0.00413436,0.0250931,6.5423e-06,1.7226e-10,1.51031e-07,0
Inputs/Traffic signs/Segmented\yellow_sign triangle 24.png,2,1,0.000371917,0.00766589,1.74179e-05,5.60094e-08,0,5.43232e-08
Inputs/Traffic signs/Segmented\yellow_sign triangle 25.png,2,1,0.0105056,0.0218068,0.000336218,0,8.18186e-06,2.27303e-08
Inputs/Traffic signs/Segmented\yellow_sign triangle 26.png,2,1,1.88552e-05,0.0188699,2.37023e-06,4.25181e-09,0,4.35293e-09
Inputs/Traffic signs/Segmented\yellow_sign triangle 27.png,2,1,0.0024386,0.0239091,5.27654e-05,8.72e-09,1.10243e-06,0
Inputs/Traffic signs/Segmented\yellow_sign triangle 28.png,2,1,0.00227517,0.0130109,6.08642e-05,2.27585e-09,1.14162e-06,0
Inputs/Traffic signs/Segmented\yellow_sign triangle 3.png,2,1,0.000284054,0.0211243,7.58811e-06,0,1.84111e-08,1.67175e-10
Inputs/Traffic signs/Segmented\yellow_sign triangle 4.png,2,1,0.00299962,0.0148463,8.05852e-05,1.38459e-06,0,1.38702e-06
Inputs/Traffic signs/Segmented\yellow_sign triangle 5.png,2,1,0.000440231,0.0206631,5.40175e-06,4.48827e-08,0,4.50591e-08
Inputs/Traffic signs/Segmented\yellow_sign triangle 6.png,2,1,4.77187e-06,0.0205889,2.43666e-07,1.79285e-10,0,1.82528e-10
Inputs/Traffic signs/Segmented\yellow_sign triangle 7.png,2,1,0.000578505,0.0169445,2.67311e-05,3.66352e-09,9.21045e-08,0
Inputs/Traffic signs/Segmented\yellow_sign triangle 8.png,2,1,0.000463718,0.0229895,1.41555e-05,3.83433e-08,0,4.02096e-08
Inputs/Traffic signs/Segmented\yellow_sign triangle 9.png,2,1,0.000410252,0.0176891,8.73725e-06,5.49242e-10,7.45082e-08,0
